t,x,y,vx,vy,parameters
1.8946,0.43528851922519485,-0.8748115684121842,-0.06552231633039593,6.423077637162441,0.0
1.8947,0.43528187346018554,-0.8741690747736137,-0.06736582499223664,6.426781473525979,0.0
1.8948,0.43527504311275506,-0.8735262105207684,-0.06921257833962416,6.430489169390932,0.0
1.8949,0.4352680278559706,-0.8728829752665974,-0.07106258513821592,6.434200732915828,0.0
1.895,0.43526082736205207,-0.872239368623255,-0.07291585418905513,6.43791617228354,0.0
1.8951,0.43525344130237004,-0.8715953902020985,-0.07477239432872215,6.441635495701374,0.0
1.8952,0.4352458693474426,-0.8709510396136859,-0.07663221442948603,6.44535871140116,0.0
1.8953,0.4352381111669334,-0.8703063164677736,-0.07849532339945514,6.4490858276393395,0.0
1.8954000000000002,0.4352301664296488,-0.8696612203733133,-0.08036173018273102,6.452816852697066,0.0
1.8955000000000002,0.4352220348035352,-0.8690157509384554,-0.08223144375954244,6.456551794880263,0.0
1.8956000000000002,0.4352137159556767,-0.8683699077705381,-0.08410447314641872,6.460290662519764,0.0
1.8957000000000002,0.435205209552292,-0.8677236904760909,-0.0859808273963229,6.464033463971369,0.0
1.8958000000000002,0.4351965152587321,-0.8670770986608309,-0.08786051559880459,6.46778020761595,0.0
1.8959000000000001,0.4351876327394772,-0.866430131929661,-0.08974354688014774,6.47153090185954,0.0
1.8960000000000001,0.43517856165813423,-0.865782789886667,-0.09162993040351913,6.475285555133427,0.0
1.8961000000000001,0.4351693016774339,-0.8651350721351155,-0.09351967536911637,6.4790441758942485,0.0
1.8962,0.43515985245922784,-0.864486978277452,-0.0954127910143151,6.482806772624084,0.0
1.8963,0.4351502136644857,-0.863838507915298,-0.09730928661381666,6.486573353830551,0.0
1.8964,0.43514038495329244,-0.863189660649449,-0.09920917147979508,6.490343928046901,0.0
1.8965,0.4351303659848451,-0.862540436079872,-0.10111245496204413,6.494118503832112,0.0
1.8966,0.43512015641745005,-0.8618908338057029,-0.10301914644812449,6.497897089770991,0.0
1.8967,0.43510975590851986,-0.8612408534252447,-0.10492925536351033,6.501679694474261,0.0
1.8968,0.4350991641145703,-0.8605904945359644,-0.1068427911717359,6.505466326578668,0.0
1.8969,0.4350883806912172,-0.8599397567344909,-0.10875976337454246,6.509256994747073,0.0
1.897,0.43507740529317346,-0.8592886396166124,-0.1106801815120248,6.513051707668552,0.0
1.8971,0.43506623757424584,-0.8586371427772742,-0.11260405516277783,6.516850474058495,0.0
1.8972,0.43505487718733166,-0.8579852658105755,-0.11453139394404349,6.520653302658706,0.0
1.8973,0.43504332378441585,-0.8573330083097678,-0.11646220751185693,6.524460202237502,0.0
1.8974000000000002,0.43503157701656736,-0.8566803698672499,-0.11839650556119835,6.52827118158982,0.0
1.8975000000000002,0.43501963653393627,-0.856027350074572,-0.12033429782612198,6.532086249537288,0.0
1.8976000000000002,0.4350075019857501,-0.8553739485224238,-0.1222755940799295,6.5359054149283775,0.0
1.8977000000000002,0.43499517302031065,-0.854720164800638,-0.12422040413529961,6.539728686638467,0.0
1.8978000000000002,0.4349826492849906,-0.8540659984981861,-0.12616873784443966,6.54355607356996,0.0
1.8979000000000001,0.43496993042623006,-0.8534114492031758,-0.1281206050992339,6.547387584652382,0.0
1.8980000000000001,0.43495701608953313,-0.8527565165028483,-0.13007601583139033,6.551223228842488,0.0
1.8981000000000001,0.4349439059194644,-0.8521011999835756,-0.13203498001258945,6.555063015124366,0.0
1.8982,0.4349305995596454,-0.8514454992308577,-0.13399750765463253,6.5589069525095445,0.0
1.8983,0.4349170966527511,-0.8507894138293198,-0.13596360880959002,6.562755050037095,0.0
1.8984,0.43490339684050616,-0.8501329433627101,-0.13793329356995065,6.566607316773736,0.0
1.8985,0.4348894997636816,-0.8494760874138961,-0.13990657206877122,6.570463761813951,0.0
1.8986,0.43487540506209077,-0.8488188455648628,-0.1418834544798258,6.574324394280081,0.0
1.8987,0.4348611123745859,-0.848161217396709,-0.14386395101775606,6.578189223322446,0.0
1.8988,0.43484662133905433,-0.847503202489645,-0.14584807193822258,6.582058258119444,0.0
1.8989,0.4348319315924146,-0.8468448004229894,-0.14783582753805458,6.5859315078776675,0.0
1.899,0.4348170427706128,-0.8461860107751669,-0.1498272281554031,6.589808981832009,0.0
1.8991,0.4348019545086186,-0.8455268331237042,-0.15182228416989213,6.593690689245774,0.0
1.8992,0.43478666644042147,-0.8448672670452284,-0.15382100600277138,6.59757663941079,0.0
1.8993,0.4347711781990267,-0.8442073121154632,-0.15582340411707002,6.601466841647523,0.0
1.8994000000000002,0.43475548941645165,-0.8435469679092246,-0.15782948901775468,6.605361305305194,0.0
1.8995000000000002,0.43473959972372134,-0.842886234000424,-0.1598392712518658,6.60926003976186,0.0
1.8996000000000002,0.4347235087508648,-0.8422251099620565,-0.16185276140870036,6.613163054424581,0.0
1.8997000000000002,0.43470721612691093,-0.8415635953662032,-0.16386997011994903,6.617070358729498,0.0
1.8998000000000002,0.43469072147988436,-0.8409016897840272,-0.16589090805985757,6.620981962141956,0.0
1.8999000000000001,0.4346740244368013,-0.8402393927857705,-0.16791558594538414,6.624897874156623,0.0
1.9000000000000001,0.43465712462366535,-0.8395767039407509,-0.16994401453635732,6.628818104297608,0.0
1.9001000000000001,0.43464002166546356,-0.8389136228173582,-0.17197620463563462,6.63274266211857,0.0
1.9002000000000001,0.4346227151861618,-0.8382501489830522,-0.17401216708926248,6.636671557202847,0.0
1.9003,0.43460520480870074,-0.8375862820043589,-0.17605191278663673,6.640604799163568,0.0
1.9004,0.4345874901549915,-0.8369220214468674,-0.17809545266066346,6.644542397643773,0.0
1.9005,0.4345695708459113,-0.8362573668752271,-0.18014279768792185,6.648484362316536,0.0
1.9006,0.43455144650129907,-0.8355923178531436,-0.182193958888827,6.652430702885083,0.0
1.9007,0.43453311673995093,-0.8349268739433765,-0.18424894732779395,6.656381429082916,0.0
1.9008,0.434514581179616,-0.8342610347077357,-0.1863077741134031,6.660336550673934,0.0
1.9009,0.43449583943699155,-0.8335947997070778,-0.18837045039856565,6.664296077452555,0.0
1.901,0.4344768911277188,-0.8329281685013037,-0.19043698738069137,6.668260019243841,0.0
1.9011,0.4344577358663782,-0.8322611406493543,-0.19250739630185615,6.672228385903627,0.0
1.9012,0.4344383732664848,-0.8315937157092077,-0.19458168844897167,6.676201187318636,0.0
1.9013,0.4344188029404837,-0.8309258932378762,-0.19665987515395528,6.680178433406616,0.0
1.9014000000000002,0.43439902449974527,-0.8302576727914006,-0.19874196779390613,6.684160134116466,0.0
1.9015000000000002,0.4343790375545607,-0.8295890539248533,-0.20082797779125994,6.688146299428337,0.0
1.9016000000000002,0.4343588417141368,-0.8289200361923259,-0.20291791661398922,6.692136939353808,0.0
